tenure_months,monthly_spend,orders_per_month,support_tickets,uses_discounts,app_sessions,churn
7,294.86,3,1,1,8,0
55,2112.44,7,2,1,15,0
47,2861.39,1,0,1,15,0
32,2521.62,5,0,0,18,0
31,976.15,1,2,1,13,0
61,349.31,2,3,1,16,0
7,2832.98,4,2,1,14,0
50,2823.78,1,2,0,16,0
15,1690.76,1,3,0,14,1
7,1998.49,4,1,1,16,0
38,1495.28,5,0,1,11,0
70,1375.34,2,3,0,10,0
53,534.46,1,2,0,13,0
55,470.91,3,4,0,17,0
51,851.65,5,2,1,13,0
56,2542.59,2,1,0,13,0
37,608.33,3,3,1,9,0
10,834.76,5,0,0,13,0
60,1736.12,1,0,0,7,0
32,802.37,2,0,1,11,0
36,656.98,0,2,0,7,0
27,1777.29,3,2,0,6,1
13,1230.66,3,2,0,19,0
66,1953.25,7,1,1,8,0
56,2754.17,4,3,0,9,0
46,622.78,7,2,1,10,0
29,2757.61,5,1,0,7,0
59,2726.97,4,1,1,14,0
39,2521.45,3,1,1,10,0
32,1967.6,2,2,0,7,1
32,1936.41,2,2,1,16,0
17,1989.8,5,2,0,9,1
7,2133.39,0,3,0,11,1
40,246.15,4,2,0,12,0
64,2882.66,4,0,0,10,0
5,1839.69,1,0,0,7,0
61,2388.1,3,3,0,12,0
59,1256.39,1,1,1,7,0
20,234.71,4,2,1,13,1
45,1627.26,5,1,0,18,1
12,1620.13,4,2,1,8,0
54,1423.57,4,2,0,13,0
50,1151.21,7,1,1,14,0
26,899.51,1,2,1,10,0
5,1677.13,4,1,1,10,0
69,1250.78,0,0,0,16,0
32,2915.81,2,3,0,16,1
64,684.2,2,0,0,12,0
49,1095.06,3,1,1,17,0
56,1023.09,4,2,1,17,0
54,1721.27,2,1,0,12,1
14,1597.98,4,1,0,12,0
26,2002.47,1,3,0,14,0
34,2860.0,4,1,1,13,0
36,998.62,1,0,1,13,0
4,2139.76,3,1,0,13,0
39,270.11,2,0,1,16,0
11,934.69,3,0,1,11,0
53,1498.42,4,1,1,20,0
49,286.79,6,1,1,16,0
66,1929.47,5,0,1,15,0
53,2099.27,4,1,0,18,0
27,2290.85,0,1,0,17,0
69,1646.41,4,1,1,12,0
30,1891.05,2,2,1,17,0
24,1308.98,4,1,0,10,0
65,315.51,1,2,0,9,0
27,479.87,4,1,1,20,0
6,2033.99,3,2,0,20,0
34,2987.55,2,2,1,10,0
57,244.25,6,1,0,14,0
14,1761.23,2,1,0,17,0
33,2302.82,4,2,0,9,0
10,2514.97,3,2,1,10,0
49,1726.57,3,0,1,8,0
34,1935.76,1,1,0,13,0
24,2150.83,3,1,1,12,0
17,2605.11,5,1,1,9,0
41,542.41,3,1,1,19,0
48,2793.31,3,5,1,13,0
67,272.85,4,0,0,16,0
32,2541.36,3,0,0,5,0
12,414.87,4,0,1,14,0
60,744.96,1,4,1,16,0
45,210.9,1,1,0,13,1
50,1446.72,2,2,1,13,0
7,1136.21,5,0,0,12,0
23,664.78,2,4,1,10,0
55,1463.05,3,5,1,10,0
60,1326.64,2,2,1,18,0
31,2349.45,1,2,0,17,0
58,2700.76,3,1,0,7,0
60,2027.19,0,0,1,5,0
28,548.35,1,1,1,7,1
64,1027.09,2,2,1,10,0
21,2757.29,4,0,1,11,0
18,448.46,2,3,1,18,0
49,1339.2,2,0,1,14,0
46,2839.01,4,1,1,10,0
10,2861.86,2,1,1,9,0
60,1351.37,1,1,1,15,0
15,2068.71,5,2,0,5,0
58,1478.89,4,2,1,12,0
1,2309.69,3,0,0,11,0
57,288.43,4,2,1,12,0
56,603.64,5,0,1,9,0
56,1919.76,2,0,0,15,0
48,851.15,1,1,0,20,0
34,2064.95,3,1,1,11,0
51,1183.42,2,2,1,17,0
20,2682.61,1,1,0,16,0
56,2493.93,2,1,0,11,0
40,1579.95,4,2,1,12,0
33,2364.11,5,2,1,16,0
36,959.19,2,2,1,17,0
41,1583.93,3,0,1,13,0
3,752.95,2,1,1,13,0
10,2610.48,4,3,0,10,0
18,2504.59,2,1,1,12,0
9,2726.02,3,1,1,15,0
32,2656.94,11,1,0,20,0
48,2886.87,6,3,0,9,0
47,839.34,1,0,1,15,0
34,2809.11,1,0,0,15,0
61,1799.4,5,1,1,12,0
41,1382.99,0,1,0,15,0
6,1769.05,9,0,0,12,0
55,1159.29,0,0,0,9,0
41,1007.95,3,1,1,9,0
46,875.68,2,0,0,14,0
41,430.8,3,1,1,8,0
40,1590.38,5,2,0,17,0
7,2685.73,2,0,0,6,0
40,1964.43,3,0,0,9,0
57,1658.73,3,0,1,14,0
22,1400.06,5,2,0,14,0
43,1500.32,7,1,1,19,0
3,785.98,4,1,0,12,0
25,2504.22,4,2,0,8,1
32,755.47,3,1,1,12,0
70,2206.54,4,0,1,15,0
16,2327.96,0,0,0,14,1
20,1809.63,3,0,0,11,0
30,2616.19,1,0,0,7,0
71,1014.94,4,1,0,7,0
61,2668.53,1,1,0,11,0
3,2242.35,1,0,1,10,0
17,2436.5,2,0,0,14,1
59,2060.82,2,0,0,23,0
5,2569.76,3,1,0,17,0
61,2980.68,3,0,1,13,0
20,1376.46,4,2,0,9,0
66,2478.96,3,2,1,16,0
21,2284.82,5,3,1,19,0
31,1468.04,4,2,0,15,0
47,2795.46,5,3,1,9,0
9,1304.39,4,3,0,10,1
40,1783.3,0,0,1,19,0
36,496.64,3,3,0,5,0
56,832.17,3,0,1,14,0
71,2553.95,2,0,1,12,0
48,1310.35,1,0,0,9,0
30,1303.44,6,3,0,10,0
29,888.75,2,3,0,16,0
30,1576.51,2,1,1,16,0
58,2456.29,4,0,0,10,0
23,2706.46,5,2,1,10,0
12,396.32,5,3,1,10,0
24,1809.5,2,0,1,8,0
2,1508.37,4,2,1,10,0
8,1919.99,4,0,0,10,0
7,1452.37,4,0,0,9,0
55,1316.21,1,0,1,12,0
52,1521.27,3,2,1,16,0
50,1829.6,2,2,1,16,0
33,1602.75,6,0,1,12,0
51,1522.0,2,2,1,11,0
12,2489.94,4,0,1,10,0
64,2287.81,2,1,1,15,0
36,1155.86,4,2,1,12,0
67,2441.62,4,2,0,13,0
11,2590.22,4,0,0,10,0
36,629.78,5,2,0,9,0
50,1831.51,1,2,0,10,1
36,998.87,1,0,1,11,0
32,2269.68,4,0,0,13,0
12,868.6,4,2,0,17,0
28,2079.93,3,0,0,10,0
17,914.35,4,2,1,16,0
22,1631.2,4,1,1,11,0
49,2856.21,4,0,1,14,0
45,1267.66,4,0,1,14,0
44,2652.07,3,2,1,16,0
26,2963.44,4,5,0,6,1
69,2649.58,4,0,1,6,0
7,664.42,3,1,0,11,0
25,2495.04,2,1,0,18,0
9,290.02,5,2,1,12,0
25,1301.25,0,2,0,11,0
69,2638.05,2,2,1,15,0
27,2128.51,4,1,1,12,0
65,1691.67,1,0,1,7,0
36,1286.02,6,2,1,9,0
50,2474.43,2,1,0,15,0
33,2186.76,4,1,0,13,0
19,1511.53,2,1,0,19,0
55,2698.96,5,4,1,14,0
69,843.85,1,0,0,16,0
19,677.1,1,0,1,10,0
56,1999.85,5,1,0,12,0
19,2921.58,2,1,0,22,0
51,892.32,3,0,0,8,0
57,899.08,3,1,1,12,0
32,590.6,1,1,0,13,1
53,2609.58,2,0,0,18,0
20,833.91,5,0,0,8,0
6,1608.9,3,1,0,11,1
7,2974.44,2,2,1,13,0
32,233.99,5,0,1,17,0
65,1758.16,2,1,0,9,1
10,1634.41,6,2,1,11,0
33,2460.85,6,0,1,14,0
50,1194.79,4,2,1,16,0
15,1348.96,4,1,0,13,1
52,670.23,1,2,0,15,0
22,2274.28,6,0,1,14,0
58,2397.18,2,2,0,9,0
42,582.66,0,1,0,14,1
39,1301.68,7,0,1,19,0
13,2700.13,3,0,1,13,0
33,207.58,1,2,0,12,0
61,1036.53,2,0,0,9,0
2,1754.12,3,1,1,11,0
54,1135.46,2,2,0,11,0
35,961.73,9,2,0,5,0
52,1488.1,3,2,1,16,0
48,708.26,3,0,0,14,0
31,1682.95,3,1,0,11,0
22,2178.75,2,2,1,8,0
45,1810.83,5,1,1,17,0
10,460.71,2,0,0,11,0
42,2564.34,4,0,1,11,0
7,689.94,3,1,0,13,0
47,2341.47,0,1,0,14,0
45,1209.58,0,0,1,10,0
6,2391.73,4,0,0,8,0
54,777.56,4,2,0,12,0
30,722.65,6,2,1,16,0
56,1591.67,2,0,1,11,0
3,292.22,3,2,1,14,0
13,830.83,6,1,1,16,0
36,2227.23,3,4,0,9,1
14,2544.67,2,1,0,18,0
24,426.2,1,0,1,11,0
47,2669.82,0,0,1,12,1
11,2433.05,4,3,1,8,0
49,2635.12,7,0,0,17,0
8,2155.6,3,1,1,10,1
13,2087.63,4,1,1,18,0
42,1670.26,4,4,1,8,0
57,2027.8,7,0,1,11,0
13,2773.51,2,1,0,22,0
22,481.46,3,1,0,11,1
66,1084.14,2,2,0,13,0
71,402.87,4,2,1,13,0
42,2845.45,2,2,1,16,1
32,1446.74,5,2,0,14,0
25,2090.96,1,1,1,14,0
44,2555.14,4,2,1,20,0
42,2974.8,1,2,0,17,0
21,652.99,3,4,0,15,0
2,2438.64,2,0,1,7,0
11,2684.78,5,0,0,17,0
69,336.85,2,1,0,11,0
30,2311.45,4,2,0,13,1
35,1193.23,1,1,0,12,0
34,2016.07,2,0,0,9,0
56,1639.33,3,1,0,10,0
5,927.28,2,0,1,10,0
6,578.62,2,3,0,7,0
20,527.45,4,0,0,12,0
35,489.3,3,0,0,14,0
48,1985.81,1,0,1,13,0
35,1183.95,3,1,0,15,0
32,806.57,3,1,1,15,0
67,2137.28,5,1,1,20,0
12,2123.18,3,0,1,14,0
41,1709.67,5,0,1,13,0
39,2817.88,4,3,0,7,1
34,1279.16,2,2,0,7,0
58,2540.42,3,4,1,17,0
19,410.39,0,0,0,13,0
68,2271.53,3,0,0,13,0
24,2967.65,1,0,1,16,0
39,2570.48,2,0,0,8,0
37,1823.06,3,1,0,11,0
61,1954.94,0,3,0,15,1
32,1189.21,0,0,1,8,0
21,2102.56,2,2,0,14,0
2,2357.11,2,1,0,15,0
26,2995.04,0,2,1,10,0
59,1578.9,1,1,1,11,0
1,371.65,1,1,1,13,0
64,1868.4,7,3,0,13,1
39,533.27,1,0,0,15,0
10,885.34,2,1,1,12,0
22,1120.58,4,1,1,14,0
40,2246.88,2,2,1,18,0
23,714.66,3,1,0,12,0
8,664.11,6,0,1,21,0
48,325.9,3,1,0,7,0
48,2645.07,1,0,1,12,0
9,2141.82,2,0,0,7,0
20,311.85,1,2,1,12,0
18,279.22,5,4,0,8,1
47,1764.29,1,0,1,19,0
52,991.1,5,4,0,9,0
52,1870.83,4,1,0,14,0
67,1416.89,3,2,1,17,0
55,2785.28,6,2,1,10,0
23,1005.87,5,0,1,10,0
8,2101.61,2,0,0,10,0
44,351.35,1,1,0,12,0
66,2876.41,2,1,0,12,0
70,2946.12,11,1,0,14,0
17,2269.41,7,1,0,8,0
17,1502.59,3,1,0,17,0
3,815.98,2,0,1,14,0
11,2475.05,1,2,0,10,0
40,2261.79,4,1,0,12,0
39,821.47,1,0,0,14,0
27,1463.4,7,4,1,18,0
23,1495.84,1,0,0,12,0
59,2513.95,5,2,1,21,0
33,2114.77,1,1,1,9,0
58,2000.87,3,1,1,11,0
69,2019.52,1,0,1,16,0
23,957.32,5,1,0,13,0
15,1240.79,1,3,1,15,0
68,327.85,3,0,1,10,0
46,2403.44,4,1,0,11,0
21,1412.4,2,2,1,12,0
45,1427.07,2,2,0,17,0
37,887.0,4,2,1,14,0
65,786.4,1,0,1,10,0
19,1845.9,2,2,1,13,0
71,851.15,3,1,1,13,0
67,379.78,4,2,0,15,0
13,2349.02,2,0,0,11,0
12,1254.11,3,5,0,10,1
38,1264.66,4,0,0,13,0
4,1407.69,1,2,1,8,1
22,2482.13,5,1,1,13,0
31,1098.34,3,1,0,8,0
69,2322.5,4,1,1,10,0
71,2830.73,3,0,1,11,0
11,2050.43,2,1,0,12,0
64,1408.71,1,0,1,7,0
7,2293.81,3,3,0,16,1
54,1482.11,4,0,0,21,0
61,1360.4,2,3,1,4,0
64,1670.79,3,2,1,16,0
16,1089.62,2,3,0,13,0
64,491.9,5,2,0,6,0
9,1361.59,1,1,1,18,0
37,546.8,1,0,1,7,0
34,1349.24,0,2,0,11,0
23,1759.41,7,0,0,11,0
2,2805.99,3,0,1,15,0
55,301.42,3,0,1,8,0
24,1940.08,6,0,0,8,0
47,1481.66,3,0,0,14,0
30,256.73,0,1,1,15,1
27,898.73,2,1,1,18,0
63,531.76,1,1,1,14,0
7,807.02,6,0,0,16,0
53,968.8,6,1,0,12,0
54,1323.66,4,1,1,9,0
27,1681.31,1,2,0,11,0
19,202.77,4,0,1,10,0
1,653.23,3,2,0,17,0
67,461.99,1,1,1,16,0
68,1739.09,3,1,1,6,0
18,1121.41,3,2,1,9,0
3,1735.51,2,2,1,11,0
9,821.11,5,0,0,15,0
5,267.84,5,1,1,14,0
60,2835.83,4,3,1,18,0
64,503.26,2,1,0,11,0
11,555.2,4,1,0,14,0
54,610.33,0,1,1,9,0
13,2947.57,3,1,1,10,0
27,1929.45,1,1,0,12,1
43,1908.81,1,3,0,10,0
52,2962.75,5,1,1,13,0
63,447.63,1,2,1,8,0
4,2928.6,5,1,1,8,0
14,771.24,5,1,0,10,0
20,1944.6,5,1,0,15,0
23,1376.23,3,3,0,7,0
71,1275.07,7,2,1,6,0
56,2807.48,3,1,0,16,0
23,617.84,2,1,1,12,0
69,2991.79,2,1,1,15,0
36,1261.55,4,0,0,14,0
36,2016.57,4,2,0,10,0
31,2910.14,3,2,0,19,0
11,361.28,1,0,1,10,0
67,2784.02,5,2,1,10,0
1,1789.87,1,0,1,8,0
13,2172.31,4,0,1,11,0
17,617.72,3,4,1,11,0
20,1693.48,1,3,1,17,0
10,2085.84,2,0,0,18,0
2,1477.49,4,2,0,13,0
49,633.96,1,1,1,8,0
69,883.53,1,3,0,17,0
9,2592.3,8,2,0,8,0
22,296.52,2,1,1,18,0
36,2184.81,2,2,1,8,0
66,2998.29,2,2,1,19,0
50,220.95,3,2,0,8,0
55,650.93,0,2,0,12,0
42,2087.6,4,1,0,16,1
30,367.97,2,2,0,17,0
15,1851.41,1,2,0,9,0
62,2115.2,6,1,0,22,0
58,1846.81,2,2,0,8,1
2,1222.52,5,3,1,15,0
51,2152.39,4,1,1,15,0
6,1864.02,5,1,1,13,0
53,781.38,0,1,0,8,0
59,1776.78,3,2,0,8,0
10,2669.34,3,0,1,6,0
31,2067.13,4,2,1,13,0
9,1521.02,5,2,0,18,0
41,1100.44,4,1,0,15,0
66,440.48,3,1,0,8,0
